TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
39907,izmir,torbali,torbali anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,241.6144,65.38,364.0942,17.08,302.85429999999997
49841,izmir,buca,buca kiz anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,237.7633,67.85,364.4576,17.0,301.11045
65541,izmir,torbali,ayrancilar sehit cengiz tokur kiz anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,231.7633,71.86,347.8765,21.01,289.8199
50776,izmir,bornova,sehit erol olcok anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,225.7951,75.93,331.3179,25.58,278.5565
65491,izmir,karsiyaka,sakize lahur kiz anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,225.6199,76.06,369.1998,15.95,297.40985
50007,izmir,guzelbahce,sehit abdullah tayyip olcok anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,201.0119,91.8,376.0946,14.48,288.55325
40846,izmir,cigli,cigli mehpare yagci anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,200.3252,92.15,379.8977,13.7,290.11145
40960,izmir,seferihisar,uluslararasi seferihisar imkb anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,193.3376,95.16,382.1371,13.25,287.73735
49559,izmir,karabaglar,necmettin erbakan anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,191.2663,95.87,404.7649,9.12,298.0156
39768,izmir,karsiyaka,sehit prof. dr. ilhan varank anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,179.4417,98.6,420.568,6.6,300.00485
50124,izmir,konak,sehit omer halisdemir kiz anadolu imam hatip lisesi,hazirlik sinifi bulunan anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,371.5664,15.43,459.4659,1.9,415.51615
49999,izmir,menemen,sehit hakan gulsen anadolu imam hatip lisesi,hazirlik sinifi bulunan anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,345.3241,21.68,418.4401,6.93,381.8821
50197,izmir,konak,sehit omer halisdemir kiz anadolu imam hatip lisesi,hazirlik sinifi bulunan anadolu imam hatip lisesi,fen ve sosyal bilimler programi,almanca,318.1494,29.75,368.1466,16.18,343.148
65489,izmir,gaziemir,sehit mustafa yaman anadolu imam hatip lisesi,hazirlik sinifi bulunan anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,308.6272,33.04,404.7178,9.13,356.6725
40009,izmir,karabaglar,izmir kiz anadolu imam hatip lisesi,hazirlik sinifi bulunan anadolu imam hatip lisesi,fen ve sosyal bilimler programi,fransizca,228.1766,74.3,368.0047,16.21,298.09065
39769,izmir,karsiyaka,sehit prof. dr. ilhan varank anadolu imam hatip lisesi,hazirlik sinifi bulunan anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,210.353,86.43,343.3096,22.21,276.8313
40185,izmir,bayrakli,bayrakli hisar anadolu imam hatip lisesi,hazirlik sinifi bulunan anadolu imam hatip lisesi,fen ve teknoloji programi,ingilizce,206.3216,88.9,391.4676,11.44,298.89459999999997
65490,izmir,karabaglar,izmir kiz anadolu imam hatip lisesi,hazirlik sinifi bulunan anadolu imam hatip lisesi,fen ve sosyal bilimler programi,italyanca,185.6838,97.43,323.0653,28.15,254.37455
50710,izmir,konak,konak goztepe mesleki ve teknik anadolu lisesi,anadolu teknik programi,bilisim teknolojileri alani,ingilizce,345.8077,21.56,400.518,9.84,373.16285
50170,izmir,konak,konak ibn-i sina mesleki ve teknik anadolu lisesi,anadolu teknik programi,saglik hizmetleri alani,ingilizce,328.2909,26.5,409.5703,8.31,368.9306
49638,izmir,bornova,bornova mazhar zorlu mesleki ve teknik anadolu lisesi,anadolu teknik programi,endustriyel otomasyon teknolojileri alani,ingilizce,319.9552,29.15,406.5784,8.81,363.2668
49368,izmir,selcuk,selcuk sehit polis demet sezen mesleki ve teknik anadolu lisesi,anadolu teknik programi,ucak bakim alani,ingilizce,314.383,31.02,385.0846,12.67,349.7338
49706,izmir,konak,konak mithatpasa mesleki ve teknik anadolu lisesi,anadolu teknik programi,bilisim teknolojileri alani,ingilizce,309.6551,32.67,344.9931,21.77,327.32410000000004
50566,izmir,bayrakli,gazeteci cetin altan mesleki ve teknik anadolu lisesi,anadolu teknik programi,bilisim teknolojileri alani,ingilizce,303.4453,34.94,389.0317,11.9,346.2385
50762,izmir,konak,konak mithatpasa mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,279.7996,44.75,393.0625,11.16,336.43105
65425,izmir,karsiyaka,karsiyaka zeki sairoglu mesleki ve teknik anadolu lisesi,anadolu teknik programi,bilisim teknolojileri alani,ingilizce,278.7219,45.24,386.102,12.47,332.41195
50842,izmir,gaziemir,gaziemir sehit serhat signak mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,278.5105,45.34,373.9224,14.94,326.21645
40000,izmir,bayrakli,gazeteci cetin altan mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,276.0767,46.5,368.389,16.12,322.23285
72382,izmir,aliaga,turkiye odalar ve borsalar birligi alosbi mesleki ve teknik anadolu lisesi,anadolu teknik programi,endustriyel otomasyon teknolojileri alani (sinavli),ingilizce,274.0702,47.44,391.8356,11.37,332.9529
