TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
50301,ADANA,SARIÇAM,Türk Tekstil Vakfı Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,İngilizce,234.0893,70.28,327.5022,26.74,280.79575
39855,ADANA,SEYHAN,Yeşilevler Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,232.2374,71.53,325.1523,27.49,278.69485000000003
50294,ADANA,SEYHAN,İsmet İnönü Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,HARİTA-TAPU-KADASTRO ALANI,İngilizce,225.5868,76.08,336.0845,24.2,280.83565
40178,ADANA,SARIÇAM,Türk Tekstil Vakfı Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,TEKSTİL TEKNOLOJİSİ ALANI,İngilizce,214.2062,83.91,333.1147,25.05,273.66045
39723,ADANA,CEYHAN,Ceyhan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,197.8056,93.34,331.4816,25.53,264.6436
39960,ADANA,SARIÇAM,Evliya Çelebi Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),İngilizce,252.7027,58.68,366.3667,16.57,309.5347
40118,ADANA,SARIÇAM,Evliya Çelebi Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI (SINAVLI),İngilizce,243.0737,64.47,375.7371,14.56,309.4054
49649,ADANA,ÇUKUROVA,Nezihe Yalvaç Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI,Almanca,243.0562,64.48,386.8564,12.32,314.9563
49494,ADANA,ÇUKUROVA,Nezihe Yalvaç Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI,İngilizce,242.4856,64.84,336.1203,24.19,289.30295
50095,ADANA,ÇUKUROVA,Nezihe Yalvaç Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI,Rusça,224.2795,76.97,314.4974,30.98,269.38845000000003
50073,ADIYAMAN,MERKEZ,Adıyaman Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,455.6876,2.25,492.7351,0.08,474.21135
50747,ADIYAMAN,GÖLBAŞI,Gölbaşı Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,401.5022,9.67,479.9581,0.46,440.73015
39778,ADIYAMAN,BESNİ,Merinos Ali Erdemoğlu Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,391.8186,11.37,452.1428,2.6,421.9807
40187,ADIYAMAN,KAHTA,Kahta Borsa İstanbul Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,388.4762,12.01,454.0991,2.4,421.28765
40988,ADIYAMAN,MERKEZ,Esentepe Anadolu Lisesi,Anadolu Lisesi,,İngilizce,427.5617,5.58,455.3562,2.28,441.45894999999996
50375,ADIYAMAN,MERKEZ,Altınşehir Anadolu Lisesi,Anadolu Lisesi,,İngilizce,420.8277,6.56,455.3359,2.28,438.0818
40987,ADIYAMAN,KAHTA,Kahta Anadolu Lisesi,Anadolu Lisesi,,İngilizce,345.7273,21.58,408.426,8.5,377.07665
49930,ADIYAMAN,MERKEZ,Adıyaman Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,401.5772,9.66,480.9769,0.41,441.27705000000003
39876,ADIYAMAN,MERKEZ,Türkiye Odalar ve Borsalar Birliği Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,391.8474,11.37,454.2,2.39,423.02369999999996
49961,ADIYAMAN,KAHTA,Ebu Sadık Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,334.2376,24.72,443.1234,3.6,388.6805
39927,ADIYAMAN,GÖLBAŞI,Mehmet Tevfik Göksu Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,303.9259,34.76,419.4376,6.77,361.68174999999997
39878,ADIYAMAN,BESNİ,Besni Kız Anadolu İmam Hatip Lisesi,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI,İngilizce,214.2723,83.87,391.0361,11.52,302.6542
50302,ADIYAMAN,MERKEZ,Adıyaman Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,ELEKTRİK- ELEKTRONİK TEKNOLOJİSİ ALANI,İngilizce,227.346,74.87,384.6983,12.75,306.02215
40004,ADIYAMAN,MERKEZ,Adıyaman Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,İngilizce,210.1046,86.59,292.7758,39.11,251.4402
47879,ADIYAMAN,MERKEZ,Adıyaman Ziraat Teknolojileri Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,TARIM ALANI,İngilizce,205.6517,89.28,346.5256,21.37,276.08865000000003
50461,ADIYAMAN,MERKEZ,Dumlupınar Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,BİLİŞİM TEKNOLOJİLERİ ALANI,İngilizce,184.5061,97.69,315.8093,30.53,250.1577
50766,ADIYAMAN,MERKEZ,Adıyaman Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,Anadolu Teknik Programı,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,İngilizce,161.9611,99.84,307.0531,33.61,234.50709999999998
49764,ADIYAMAN,MERKEZ,Adıyaman Perre Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,KONAKLAMA ve SEYAHAT HİZMETLERİ ALANI (SINAVLI),İngilizce,196.7003,93.82,318.127,29.76,257.41365
50297,ADIYAMAN,MERKEZ,Adıyaman Perre Mesleki ve Teknik Anadolu Lisesi,Anadolu Meslek Programı,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),İngilizce,179.865,98.54,350.9064,20.24,265.38570000000004
39914,AFYONKARAHİSAR,MERKEZ,Süleyman Demirel Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,456.1095,2.21,498.0273,0.02,477.0684
39961,AFYONKARAHİSAR,BOLVADİN,Ayfer-Ceylan EMET Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,402.3319,9.53,452.8036,2.53,427.56775000000005
