iter	Passed	Remaining
672	34668	480458
673	34708	480260
674	34753	480115
675	34809	480125
676	34860	480067
677	34897	479808
678	34958	479888
679	35014	479905
680	35069	479900
681	35128	479955
682	35183	479950
683	35234	479890
684	35280	479763
685	35324	479609
686	35387	479714
687	35445	479747
688	35497	479702
689	35572	479965
690	35623	479917
691	35663	479699
692	35718	479700
693	35764	479569
694	35821	479599
695	35868	479477
696	35917	479398
697	35967	479322
698	36008	479135
699	36061	479109
700	36119	479137
701	36162	478966
702	36209	478856
703	36259	478793
704	36307	478689
705	36358	478629
706	36418	478691
707	36462	478541
708	36506	478397
709	36547	478203
710	36601	478181
711	36650	478097
712	36687	477866
713	36735	477761
714	36788	477733
715	36838	477662
716	36887	477579
717	36957	477774
718	37012	477761
719	37060	477663
720	37110	477596
721	37173	477699
722	37230	477712
723	37283	477677
724	37333	477613
725	37385	477566
726	37443	477595
727	37500	477615
728	37540	477417
729	37589	477334
730	37646	477347
731	37702	477362
732	37757	477352
733	37820	477444
734	37875	477442
735	37924	477357
736	37975	477297
737	38043	477444
738	38096	477413
739	38153	477431
740	38226	477653
741	38290	477748
742	38341	477692
743	38411	477870
744	38463	477827
745	38516	477795
746	38568	477745
747	38617	477662
748	38664	477545
749	38716	477499
750	38765	477421
751	38812	477316
752	38869	477324
753	38933	477427
754	38985	477373
755	39032	477275
756	39086	477252
757	39133	477134
758	39180	477026
759	39236	477028
760	39290	477014
761	39346	477013
762	39403	477024
763	39469	477142
764	39519	477078
765	39570	477014
766	39634	477116
767	39678	476974
768	39726	476868
769	39772	476750
770	39825	476712
771	39876	476662
772	39918	476491
773	39970	476446
774	40014	476301
775	40057	476141
776	40101	476005
777	40150	475922
778	40190	475728
779	40237	475628
780	40291	475605
781	40345	475585
782	40399	475557
783	40449	475487
784	40491	475319
785	40547	475321
786	40587	475140
787	40644	475153
788	40689	475014
789	40734	474894
790	40786	474841
791	40837	474783
792	40893	474789
793	40951	474810
794	41004	474776
795	41047	474619
796	41088	474451
797	41134	474340
798	41188	474317
799	41232	474171
800	41291	474202
801	41352	474266
802	41397	474135
803	41447	474073
804	41501	474041
805	41548	473943
806	41590	473784
807	41637	473677
808	41679	473520
809	41734	473509
810	41779	473378
811	41829	473307
812	41875	473193
813	41915	473020
814	41962	472916
815	42012	472842
816	42067	472830
817	42120	472804
818	42163	472652
819	42230	472770
820	42303	472966
821	42345	472808
822	42399	472785
823	42454	472772
824	42497	472623
825	42540	472473
826	42589	472401
827	42635	472290
828	42679	472148
829	42733	472132
830	42783	472062
831	42832	471975
832	42878	471865
833	42938	471910
834	42985	471810
835	43041	471809
836	43155	472443
837	43209	472418
838	43259	472345
839	43311	472302
840	43361	472238
841	43415	472207
842	43475	472249
843	43518	472105
844	43570	472059
845	43631	472102
846	43681	472038
847	43725	471904
848	43774	471824
849	43830	471818
850	43884	471796
851	43934	471725
852	43990	471724
853	44037	471628
854	44082	471504
855	44133	471445
856	44177	471310
857	44233	471309
858	44294	471357
859	44352	471378
860	44416	471455
861	44474	471468
862	44527	471435
863	44593	471535
864	44648	471516
865	44697	471437
866	44751	471415
867	44797	471300
868	44850	471268
869	44906	471261
870	44962	471257
871	45015	471218
872	45059	471088
873	45112	471046
874	45158	470935
875	45210	470890
876	45261	470836
877	45304	470689
878	45355	470638
879	45417	470693
880	45459	470540
881	45509	470472
882	45561	470421
883	45605	470292
884	45660	470278
885	45706	470164
886	45754	470082
887	45811	470088
888	45870	470107
889	45919	470024
890	45979	470068
891	46036	470063
892	46082	469960
893	46127	469844
894	46183	469835
895	46238	469819
896	46299	469861
897	46351	469812
898	46407	469801
899	46463	469794
900	46527	469871
901	46585	469884
902	46626	469728
903	46676	469658
904	46725	469574
905	46775	469513
906	46824	469436
907	46862	469242
908	46903	469081
909	46948	468964
910	46990	468820
911	47101	469363
912	47157	469357
913	47204	469257
914	47257	469214
915	47302	469103
916	47359	469098
917	47412	469064
918	47463	469007
919	47554	469346
920	47618	469412
921	47674	469405
922	47756	469647
923	47807	469593
924	47866	469611
925	47932	469698
926	47987	469678
927	48035	469585
928	48076	469429
929	48122	469324
930	48165	469189
931	48210	469072
932	48274	469135
933	48377	469579
934	48432	469564
935	48514	469805
936	48583	469915
937	48654	470048
938	48714	470081
939	48768	470047
940	48834	470127
941	48892	470132
942	48964	470277
943	49025	470312
944	49072	470217
945	49148	470392
946	49221	470544
947	49283	470584
948	49350	470678
949	49412	470720
950	49479	470808
951	49548	470920
952	49628	471129
953	49698	471254
954	49759	471282
955	49810	471217
956	49851	471062
957	49928	471243
958	49997	471349
959	50063	471435
960	50111	471341
961	50182	471465
962	50241	471474
963	50301	471498
964	50363	471541
965	50432	471646
966	50491	471657
967	50534	471512
968	50631	471885
969	50690	471896
970	50762	472021
971	50818	472002
972	50889	472127
973	50939	472056
974	51002	472104
975	51064	472134
976	51134	472251
977	51195	472277
978	51254	472283
979	51308	472247
980	51372	472302
981	51422	472228
982	51479	472214
983	51534	472186
984	51585	472121
985	51632	472019
986	51684	471966
987	51746	472006
988	51802	471986
989	51847	471860
990	51898	471800
991	51944	471687
992	51994	471618
993	52042	471521
994	52092	471447
995	52142	471373
996	52198	471358
997	52248	471279
998	52293	471166
999	52342	471083
1000	52392	471004
1001	52440	470920
1002	52479	470741
1003	52519	470584
1004	52578	470588
1005	52627	470509
1006	52670	470374
1007	52720	470295
1008	52770	470230
1009	52830	470242
1010	52881	470181
1011	52918	469989
1012	52964	469882
1013	53010	469776
1014	53055	469654
1015	53109	469620
1016	53165	469603
1017	53222	469590
1018	53264	469445
1019	53309	469329
1020	53361	469277
1021	53412	469212
1022	53462	469140
1023	53519	469134
1024	53574	469100
1025	53620	468999
1026	53665	468884
1027	53715	468813
1028	53777	468845
1029	53823	468733
1030	53875	468680
1031	53922	468583
1032	53972	468507
1033	54027	468485
1034	54075	468393
1035	54115	468235
1036	54169	468193
1037	54212	468063
1038	54261	467986
1039	54323	468020
1040	54366	467883
1041	54430	467934
1042	54480	467859
1043	54548	467948
1044	54612	467995
1045	54670	467991
1046	54725	467960
1047	54775	467894
1048	54826	467832
1049	54881	467801
1050	54931	467729
1051	54990	467732
1052	55049	467741
1053	55095	467632
1054	55145	467559
1055	55195	467487
1056	55251	467470
1057	55310	467473
1058	55364	467437
1059	55425	467455
1060	55494	467543
1061	55565	467651
1062	55630	467705
1063	55683	467657
1064	55734	467592
1065	55797	467631
1066	55854	467620
1067	55924	467714
1068	55968	467593
1069	56019	467527
1070	56067	467441
1071	56125	467430
1072	56167	467293
1073	56206	467132
1074	56255	467049
1075	56308	467004
1076	56362	466967
1077	56408	466864
1078	56474	466925
1079	56540	466981
1080	56605	467033
1081	56663	467028
1082	56732	467111
1083	56777	466997
1084	56846	467081
1085	56906	467092
1086	56955	467017
1087	57006	466949
1088	57052	466849
1089	57105	466799
1090	57146	466654
1091	57195	466570
1092	57236	466426
1093	57284	466343
1094	57335	466272
1095	57391	466251
1096	57446	466223
1097	57492	466118
1098	57547	466085
1099	57599	466036
1100	57653	465996
1101	57695	465856
1102	57746	465794
1103	57795	465717
1104	57843	465628
1105	57891	465536
1106	57941	465472
1107	57986	465353
1108	58041	465327
1109	58090	465243
1110	58140	465176
1111	58195	465142
1112	58268	465255
1113	58332	465299
1114	58394	465323
1115	58460	465376
1116	58509	465295
1117	58561	465245
1118	58615	465205
1119	58669	465169
1120	58711	465027
1121	58753	464898
1122	58854	465229
1123	58921	465290
1124	58991	465375
1125	59046	465344
1126	59114	465412
1127	59161	465318
1128	59223	465345
1129	59272	465262
1130	59319	465171
1131	59376	465153
1132	59414	464983
1133	59472	464977
1134	59523	464913
1135	59575	464859
1136	59630	464826
1137	59681	464760
1138	59731	464688
1139	59773	464552
1140	59816	464432
1141	59861	464320
1142	59911	464250
1143	59955	464129
1144	60002	464034
1145	60051	463960
1146	60097	463859
1147	60147	463784
1148	60202	463756
1149	60244	463622
1150	60292	463536
1151	60343	463469
1152	60417	463582
1153	60467	463513
1154	60525	463501
1155	60579	463467
1156	60634	463428
1157	60689	463403
1158	60734	463289
1159	60788	463250
1160	60836	463161
1161	60904	463233
1162	60947	463104
1163	61038	463345
1164	61110	463445
1165	61166	463418
1166	61220	463373
1167	61282	463398
1168	61329	463302
1169	61383	463264
1170	61430	463164
1171	61473	463041
1172	61525	462989
1173	61579	462946
1174	61625	462850
1175	61673	462760
1176	61715	462631
1177	61759	462512
1178	61816	462500
1179	61868	462442
1180	61916	462356
1181	61964	462271
1182	62013	462191
1183	62060	462101
1184	62106	461997
1185	62166	462001
1186	62215	461924
1187	62272	461908
1188	62328	461882
1189	62390	461902
1190	62441	461837
1191	62488	461742
1192	62541	461693
1193	62602	461709
1194	62699	461979
1195	62753	461942
1196	62820	461999
1197	62882	462010
1198	62928	461911
1199	62976	461829
1200	63021	461719
1201	63065	461602
1202	63118	461553
1203	63176	461547
1204	63235	461538
1205	63287	461481
1206	63326	461333
1207	63372	461233
1208	63426	461195
1209	63478	461136
1210	63535	461116
1211	63584	461036
1212	63649	461079
1213	63703	461033
1214	63776	461130
1215	63838	461148
1216	63918	461292
1217	63970	461236
1218	64028	461228
1219	64091	461247
1220	64153	461263
1221	64204	461201
1222	64270	461242
1223	64347	461366
1224	64444	461633
1225	64509	461671
1226	64573	461699
1227	64634	461707
1228	64693	461697
1229	64768	461807
1230	64834	461849
1231	64930	462100
1232	65006	462213
1233	65071	462252
1234	65141	462318
1235	65209	462378
1236	65284	462476
1237	65355	462559
1238	65418	462572
1239	65477	462569
1240	65546	462626
1241	65606	462626
1242	65658	462566
1243	65739	462716
1244	65807	462763
1245	65871	462789
1246	65938	462841
1247	66016	462958
1248	66068	462904
1249	66116	462816
1250	66172	462782
1251	66241	462843
1252	66304	462858
1253	66358	462818
1254	66426	462870
1255	66489	462885
1256	66566	463000
1257	66630	463023
1258	66685	462988
1259	66742	462962
1260	66805	462976
1261	66872	463017
1262	66935	463035
1263	67007	463118
1264	67086	463240
1265	67138	463178
1266	67203	463213
1267	67264	463209
1268	67331	463257
1269	67398	463298
1270	67453	463258
1271	67520	463298
1272	67602	463444
1273	67682	463575
1274	67751	463630
1275	67817	463669
1276	67883	463700
1277	67953	463761
1278	68017	463782
1279	68063	463680
1280	68115	463620
1281	68170	463580
1282	68217	463482
1283	68261	463370
1284	68321	463362
1285	68367	463264
1286	68414	463165
1287	68462	463079
1288	68511	463000
1289	68565	462946
1290	68623	462928
1291	68673	462852
1292	68724	462790
1293	68781	462762
1294	68839	462742
1295	68897	462720
1296	68954	462690
1297	68999	462583
1298	69056	462553
1299	69113	462525
1300	69169	462493
1301	69230	462491
1302	69295	462517
1303	69345	462445
1304	69395	462369
1305	69452	462345
1306	69505	462288
1307	69552	462193
1308	69608	462158
1309	69652	462047
1310	69708	462008
1311	69760	461951
1312	69800	461811
1313	69849	461732
1314	69903	461684
1315	69966	461695
1316	70020	461648
1317	70082	461650
1318	70144	461655
1319	70205	461655
1320	70263	461631
1321	70503	462803
1322	70570	462844
1323	70668	463081
1324	70739	463145
1325	70803	463156
1326	70903	463408
1327	70963	463403
1328	71024	463397
1329	71067	463274
1330	71121	463223
1331	71167	463121
1332	71212	463013
1333	71259	462918
1334	71318	462905
1335	71378	462891
1336	71421	462769
1337	71472	462704
1338	71518	462599
1339	71570	462537
1340	71624	462485
1341	71667	462364
1342	71723	462331
1343	71778	462288
1344	71819	462153
1345	71866	462057
1346	71920	462009
1347	71964	461898
1348	72015	461827
1349	72068	461774
1350	72115	461677
1351	72173	461653
1352	72218	461548
1353	72265	461450
1354	72316	461386
1355	72369	461329
1356	72422	461274
1357	72485	461283
1358	72549	461294
1359	72603	461242
1360	72656	461190
1361	72703	461097
1362	72757	461047
1363	72807	460971
1364	72862	460929
1365	72916	460879
1366	72970	460827
1367	73015	460721
1368	73060	460619
1369	73165	460887
